Symbol,Date,Open,High,Low,Close,Adjusted Close,Volume
MSFT,2021-08-24,305.0200,305.6500,302.0000,302.6200,293.8400,18175800
MSFT,2021-08-23,303.2500,305.4000,301.8500,304.6500,295.8100,22830200
MSFT,2021-08-20,299.7200,305.8400,298.0600,304.3600,295.5300,40817646
MSFT,2021-08-19,288.6900,297.4700,288.6400,296.7700,288.1600,29850500
MSFT,2021-08-18,292.0400,294.8200,290.2700,290.7300,282.3000,21813000
MSFT,2021-08-17,292.3900,293.4300,291.0800,293.0800,284.0400,20075300
MSFT,2021-08-16,293.1900,294.8200,290.0200,294.6000,285.5100,22516027
MSFT,2021-08-13,289.4800,292.9000,289.3000,292.8500,283.8100,18249046
MSFT,2021-08-12,286.6300,289.9700,286.3400,289.8100,280.8700,14570391
MSFT,2021-08-11,287.2100,288.6600,285.8600,286.9500,278.0900,13955934
MSFT,2021-08-10,288.8000,289.2500,285.2000,286.4400,277.6000,18616600
MSFT,2021-08-09,289.7500,291.5500,287.8100,288.3300,279.4300,16117629
MSFT,2021-08-06,288.5100,289.5000,287.6200,289.4600,280.5300,16589336
MSFT,2021-08-05,286.8800,289.6300,286.1000,289.5200,280.5800,13900200
MSFT,2021-08-04,286.2200,287.5900,284.6500,286.5100,277.6700,16191301
MSFT,2021-08-03,285.4200,287.2300,284.0000,287.1200,278.2600,17879048
MSFT,2021-08-02,286.3600,286.7700,283.7400,284.8200,276.0300,16267400
MSFT,2021-07-30,285.1700,286.6600,283.9100,284.9100,276.1200,20944846
MSFT,2021-07-29,286.2400,288.6200,286.0800,286.5000,277.6600,18168300
MSFT,2021-07-28,288.9900,290.1500,283.8300,286.2200,277.3900,33566900
MSFT,2021-07-27,289.4300,289.5800,282.9500,286.5400,277.7000,33604100
MSFT,2021-07-26,289.0000,289.6900,286.6400,289.0500,280.1300,23176100
MSFT,2021-07-23,287.3700,289.9900,286.5000,289.6700,280.7300,22768100
MSFT,2021-07-22,283.8400,286.4200,283.4200,286.1400,277.3100,23384100
MSFT,2021-07-21,278.9000,281.5200,277.2900,281.4000,272.7200,24364320
MSFT,2021-07-20,278.0300,280.9700,276.2600,279.3200,270.7000,26259741
MSFT,2021-07-19,278.9300,280.3700,274.4500,277.0100,268.4600,32935634
MSFT,2021-07-16,282.0700,284.1000,279.4600,280.7500,272.0900,26186848
MSFT,2021-07-15,282.0000,282.5100,279.8300,281.0300,272.3600,22604227
MSFT,2021-07-14,282.3500,283.6600,280.5500,282.5100,273.7900,23113700
MSFT,2021-07-13,277.5200,282.8500,277.3900,280.9800,272.3100,26120128
